"row";"column";"S_Ka";"S_Kb";"Cl_K";"Ar_K";"Ti_K";"Cr_K";"Fe_K";"Scatter_Peak000";"Scatter_Compton000";"s(S_Ka)";"s(S_Kb)";"s(Cl_K)";"s(Ar_K)";"s(Ti_K)";"s(Cr_K)";"s(Fe_K)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;77;677.839;223.677;6010.77;1439.82;44.5089;97.1489;239.798;63750.4;128005;27.9759;24.2796;69.4754;35.7711;11.9358;15.1727;22.5586;261.65;332.628;7.23083
0;78;648.7;158.823;5944.73;1481.17;31.3104;83.687;195.677;62694.8;127373;27.1241;25.2549;69.0767;36.1563;11.3744;14.215;20.868;259.546;331.439;7.55242
0;79;595.443;255.297;5876.88;1478.87;14.6398;29.7056;236.791;63239;126920;26.7126;22.9756;68.6125;36.1628;11.5008;12.9038;21.7719;260.546;331.166;7.26048
0;80;684.338;150.678;5860.24;1472.79;39.9152;58.3017;233.781;62480.6;127447;27.6499;24.7381;68.8681;35.9613;12.6265;13.4813;21.7285;259.549;331.712;6.90001
0;81;662.356;185.077;5866.67;1553.48;36.6188;65.9753;192.516;62197.7;127392;27.1878;24.3259;68.6703;36.7852;11.7531;13.9754;21.3628;258.966;331.471;7.22975
0;82;749.232;188.787;5836.41;1448.46;29.8852;37.1926;225.461;63152.9;126808;28.0858;23.3972;68.4956;35.7506;11.7008;13.081;22.0464;260.462;331.215;7.16252
0;83;642.77;187.262;5760.94;1453.95;10.8393;69.7409;192.064;61647;126261;26.9431;24.2978;68.0412;35.7371;10.5009;12.9393;20.972;257.501;329.816;7.37144
0;84;589.175;154.333;5770.11;1373.66;26.0991;67.1084;219.989;62012.9;125122;26.1879;24.6743;68.1074;35.062;11.0587;13.6377;21.8779;258.191;328.83;7.1059
0;85;556.42;227.459;5771.64;1303.64;28.3434;130.595;321.692;61093.8;126496;25.7786;23.4755;68.0434;34.603;11.9437;15.1273;21.6383;256.892;329.944;7.71463
0;86;568.159;228.958;5881.19;1387.49;25.3309;45.1377;221.9;60686.1;125794;25.6658;23.1058;68.5882;35.3416;11.2489;13.0386;20.5941;255.998;329.058;7.55216
0;87;507.567;242.656;5756.83;1417.57;33.7295;91.8322;230.41;60165.2;126042;25.3874;23.0958;67.894;35.4702;11.7763;13.2977;21.0245;254.862;328.982;7.73869
0;88;604.011;222.404;5764.59;1460.92;63.0695;43.0092;204.637;59994.1;125105;26.2941;23.1012;67.8678;35.7571;12.5408;12.97;20.4869;254.529;327.845;7.77816
0;89;504.509;179.774;5675.09;1331.91;26.8071;66.692;223.674;59559.8;124903;24.65;23.3864;67.397;34.6596;11.6688;12.8134;21.7331;253.823;327.632;7.43598
0;90;499.701;204.101;5682.38;1451.66;19.1529;56.527;201.242;59100.6;124484;24.8669;23.3275;67.5274;35.8366;10.5218;12.9353;20.7168;252.747;326.865;7.425
0;91;432.512;1.97745;5506.19;1335.56;18.6294;22.1238;144.757;59387.5;124683;23.9236;22.6123;67.0524;34.4309;11.0469;12.7098;20.2613;253.171;327.512;7.20707
0;92;492.327;193.039;5641.57;1449.92;34.3078;74.0167;189.381;59027.4;124511;24.3447;22.9472;67.259;35.551;11.8092;14.0856;20.7867;252.59;326.825;7.15677
0;93;498.754;0.063113;5455.91;1390.67;38.9274;47.5552;140.731;58705.4;123183;25.0133;22.5361;66.9554;34.9321;12.1843;13.5851;20.3608;251.736;325.559;7.32077
0;94;424.971;2.17869;5531.92;1327.93;21.9292;81.4644;241.278;58377.6;123743;24.0369;22.8848;67.3972;34.6269;11.4216;13.365;20.8585;250.905;325.601;7.00735
0;95;462.957;205.854;5590.98;1308.25;10.0157;68.066;227.645;57548.8;124176;24.4108;22.9633;67.112;34.6669;10.6819;14.458;20.8954;249.454;325.548;7.12728
0;96;485.642;259.825;5486.91;1301.45;11.3507;43.3765;178.303;57764.9;123218;24.3011;21.2771;66.1393;34.3633;10.3939;12.6711;20.9607;250.291;325.046;7.71878
0;97;448.607;15.5127;5582.08;1196.14;80.7544;9.3692;273.162;58053.2;123896;24.0563;20.7186;67.5094;33.2044;13.2644;12.0647;21.797;250.842;325.768;7.33635
0;98;485.018;228.912;5500.08;1342.57;6.75442;9.38873;169.817;58470.6;123010;24.5943;22.0662;66.3802;34.5609;10.2907;9.59944;20.5158;251.393;324.863;7.62763
0;99;425.836;7.21719;5470.85;1365.18;17.607;22.1084;197.628;57146.9;124007;23.2141;21.7294;66.7022;34.7795;11.4637;12.5218;20.6009;248.859;325.293;6.80872
0;100;454.852;3.69851;5334.71;1303.79;26.5713;51.8125;186.709;57631.6;123194;24.1735;23.1664;66.3983;33.6921;11.7197;12.7742;20.7403;249.409;324.604;6.76844
0;101;408.659;163.583;5417.99;1257.32;49.0846;44.3321;173.256;57798.7;122702;23.3837;24.1603;66.074;33.5045;11.4109;12.5081;20.3106;249.999;324.276;7.21804
0;102;475.426;6.38577;5350.92;1288.33;22.9981;47.7303;129.641;57264.6;122505;24.0019;22.588;66.0772;33.7817;11.7618;12.5879;19.5357;248.893;323.738;7.0101
0;103;339.753;4.80716;5204.45;1176.41;34.3851;15.2856;283.555;57416.7;122218;23.1771;23.2593;65.5144;33.1347;11.2978;12.1845;21.7791;249.098;323.517;6.60047
0;104;383.825;1.62305;5276.07;1269.97;26.9628;60.6299;183.875;57015.7;122627;23.1499;22.7708;65.4451;33.6096;11.3092;13.0495;20.5231;248.661;323.714;7.11777
0;105;415.855;207.837;5204.31;1239.6;8.93186;52.6327;161.493;57161.8;123008;23.0783;21.6867;64.5898;33.4437;11.0221;12.6572;19.7491;248.809;324.251;7.50052
0;106;395.67;220.269;5272.67;1218.12;54.6901;84.4263;160.769;57098.9;121918;23.15;21.5886;64.9153;33.1935;12.4868;13.5247;20.1558;249.358;323.597;7.36465
0;107;405.172;260.868;5443.43;1259.03;23.1166;49.3035;240.974;56510;121480;22.3897;20.577;65.8174;33.2648;11.2214;12.5215;20.7807;247.444;322.339;7.78184
0;108;353.322;8.797;5217.91;1205.96;25.9689;68.1446;212.94;56021.7;121584;22.6219;21.4566;65.8202;33.4211;10.6195;13.3847;20.3757;246.201;322.286;7.07811
0;109;377.099;11.456;5234.51;1298.52;66.0102;44.8446;163.686;55641.2;121429;22.6942;21.8045;65.3513;33.8401;11.5246;12.8707;20.191;246.358;322.309;6.56777
0;110;429.946;184.684;5269.97;1144.65;19.2485;62.1978;168.701;56106.4;121190;23.2996;22.1397;64.8759;32.3514;11.1412;13.4874;19.7997;246.761;321.905;7.15132
0;111;451.724;181.443;5143.38;1255.54;81.8872;58.0646;223.145;56145.7;121927;23.1599;22.0642;64.2387;33.351;13.1659;13.3874;20.4709;246.561;322.523;7.10884
0;112;397.785;193.349;5278.34;1215.24;14.9482;40.4073;156.191;56669.9;121359;22.7443;21.9;65.0616;33.2456;11.3226;12.7054;19.5949;247.72;322.302;7.10132
0;113;363.338;201.032;5279.4;1127.12;29.4526;67.2279;251.772;55629.8;122164;22.438;22.1212;65.0284;32.2407;11.238;12.9942;20.9928;245.936;322.774;7.44795
0;114;341.4;8.04756;5002.17;1182.59;35.4066;55.2585;191.199;55542.1;121460;21.9905;20.5547;64.2655;32.736;12.1068;13.4236;20.1015;245.599;321.898;6.89506

